Property Address,Property Name,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,City,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Ceiling Ht,Column Spacing,Number Of Loading Docks,Power,Rail Lines,Sewer,Building Operating Expenses,Capacity - Available kW,Direct Available Space,Direct Vacant Space,Drive Ins,Sprinklers,Water,Number Of Parking Spaces,Latitude,Longitude
430 Communipaw Ave,Tenmarc,C,Existing,225000,30900,$21.95 - 23.76,Warehouse,Jersey City,93.38,1910,1996,55875,0.22,"24'0""",18'w x 18'd,5,100-1000a,,City,2024 Tax @ $1.6186/sf,,30900,14900,"2/70'0""w x 15'0""h",Wet,City,50,40.7143118,-74.0652016
621-625 Corporate Way,Lincoln Logistics @ Rockland,B,Existing,220000,88795,$18.47,Distribution,Valley Cottage,0.00,2024,,220000,0.87,"36'0""",50'w x 54'd,34,2000a/480v 3p,,,,,66422,197627,2,ESFR,,244,41.1275694,-73.9433343
85 Fifth Ave,,B,Existing,227400,17000,$5.00 - 12.00,Warehouse,Paterson,97.80,1903,,113700,0.22,"18'0""",,12,200a,,City,2024 Tax @ $0.5497/sf,,12000,5000,"20/10'0""w x 13'0""h",Wet,City,50,40.9360075,-74.1585735
10110 Foster Ave,EMS Station 59,C,Existing,346686,79791,$27.00,Warehouse,Brooklyn,100.00,1972,,173343,,"30'0""",,14,,,,2024 Tax @ $2.7367/sf,,79791,0,1,Yes,,,40.6491711,-73.9022473
55 Haul Rd,PRC Campus,C,Existing,207000,115000,$13.95,Warehouse,Wayne,100.00,1967,,207000,0.48,"18'0""",40'w x 25'd,14,4000a,,City,,,115000,0,1,Wet,City,120,40.9331251,-74.2785686
55 Hook Rd,,B,Existing,271545,60000,$14.00,Warehouse,Bayonne,77.90,1960,,271545,0.28,"36'0""",42'w x 44'd,39,1600a,,City,2024 Tax @ $3.2846/sf,,60000,60000,None,Dry,City,100,40.6600622,-74.0990391
450 Murray Hill Pky,,C,Existing,376863,41832,$11.98 - 14.75,Warehouse,East Rutherford,96.01,1972,,188432,0.27,"15'0""",29'w x 40'd,5,200a/480v,,City,2024 Tax @ $1.4710/sf,,41832,15030,"2/12'0""w x 12'0""h",Wet,City,100,40.8175880,-74.0917204
240-260 W Nyack Rd,,A,Existing,246340,40006,$7.50 - 22.00,Warehouse,West Nyack,91.50,1972,1999,120848,0.02,"20'0""",,19,,,,,,20949,20949,5,Wet,,4,41.0980610,-73.9935238
100 Pulaski St,,B,Existing,288012,288012,$13.95,Warehouse,Bayonne,0.00,1971,,288012,0.43,"20'0""",30'w x 40'd,40,600a 3p,,,2024 Tax @ $2.4381/sf,,288012,288012,4,Wet,,127,40.6767529,-74.0906642
63-15 Traffic Ave,,B,Existing,215000,49000,$24.00 - 29.00,Warehouse,Ridgewood,77.21,1965,,160000,,"19'0""",50'w x 50'd,11,6000a,,Yes,2024 Tax @ $3.1078/sf,,49000,49000,2,Wet,Yes,,40.7113957,-73.8983794
700-800 1st St,,C,Existing,250000,92158,$10.85 - 13.27 (Est.),Warehouse,Harrison,63.14,1975,,250000,0.00,"24'0""",40'w x 16'd,58,200a,,City,,,92158,92158,"5/16'0""w x 14'0""h",Yes,City,,40.7393038,-74.1609560
122 8th St,Passaic Logistics Center,A,Existing,295506,295506,$12.19 - 14.89 (Est.),Distribution,Passaic,0.00,2024,,295506,0.57,"40'0""",50'w x 56'd,40,3000a/480v,,,,,295506,295506,2,ESFR,,222,40.8599509,-74.1091315
